Quality	Count	sample
2	6.0	ERR187494
3	0.0	ERR187494
4	0.0	ERR187494
5	2.0	ERR187494
6	1.0	ERR187494
7	0.0	ERR187494
8	3.0	ERR187494
9	4.0	ERR187494
10	3.0	ERR187494
11	3.0	ERR187494
12	9.0	ERR187494
13	13.0	ERR187494
14	7.0	ERR187494
15	10.0	ERR187494
16	16.0	ERR187494
17	29.0	ERR187494
18	53.0	ERR187494
19	73.0	ERR187494
20	99.0	ERR187494
21	126.0	ERR187494
22	199.0	ERR187494
23	380.0	ERR187494
24	724.0	ERR187494
25	1616.0	ERR187494
26	3306.0	ERR187494
27	6382.0	ERR187494
28	12117.0	ERR187494
29	20947.0	ERR187494
30	34685.0	ERR187494
31	53831.0	ERR187494
32	79425.0	ERR187494
33	114777.0	ERR187494
34	170792.0	ERR187494
35	263946.0	ERR187494
36	449147.0	ERR187494
37	1267594.0	ERR187494
38	3691975.0	ERR187494
39	196846.0	ERR187494
