GC_Content	Count	sample
0	4.0	ERR187664
1	4.0	ERR187664
2	2.0	ERR187664
3	2.0	ERR187664
4	4.0	ERR187664
5	4.0	ERR187664
6	6.0	ERR187664
7	10.5	ERR187664
8	16.5	ERR187664
9	26.5	ERR187664
10	40.5	ERR187664
11	52.5	ERR187664
12	61.0	ERR187664
13	103.0	ERR187664
14	165.0	ERR187664
15	230.5	ERR187664
16	345.5	ERR187664
17	595.5	ERR187664
18	986.5	ERR187664
19	1390.5	ERR187664
20	2707.0	ERR187664
21	4453.0	ERR187664
22	5710.0	ERR187664
23	7090.0	ERR187664
24	9209.5	ERR187664
25	13675.5	ERR187664
26	20533.0	ERR187664
27	26789.0	ERR187664
28	37219.5	ERR187664
29	48758.5	ERR187664
30	74755.0	ERR187664
31	115246.5	ERR187664
32	139677.5	ERR187664
33	159757.5	ERR187664
34	199507.0	ERR187664
35	264756.0	ERR187664
36	310455.5	ERR187664
37	356282.0	ERR187664
38	412671.0	ERR187664
39	499288.5	ERR187664
40	592343.0	ERR187664
41	629056.5	ERR187664
42	654846.5	ERR187664
43	639352.5	ERR187664
44	602413.0	ERR187664
45	608153.0	ERR187664
46	637632.0	ERR187664
47	657396.0	ERR187664
48	729594.5	ERR187664
49	796859.0	ERR187664
50	824560.5	ERR187664
51	852262.0	ERR187664
52	758427.0	ERR187664
53	665266.0	ERR187664
54	566025.0	ERR187664
55	462629.0	ERR187664
56	445580.0	ERR187664
57	389785.0	ERR187664
58	319413.0	ERR187664
59	289527.5	ERR187664
60	267141.5	ERR187664
61	228924.0	ERR187664
62	213518.5	ERR187664
63	206621.5	ERR187664
64	187382.5	ERR187664
65	178135.5	ERR187664
66	165695.0	ERR187664
67	147310.5	ERR187664
68	135694.5	ERR187664
69	121995.5	ERR187664
70	119133.5	ERR187664
71	120922.5	ERR187664
72	119395.0	ERR187664
73	112273.5	ERR187664
74	100468.0	ERR187664
75	88912.0	ERR187664
76	77367.5	ERR187664
77	71876.0	ERR187664
78	69229.0	ERR187664
79	62816.5	ERR187664
80	47800.0	ERR187664
81	35863.0	ERR187664
82	32230.0	ERR187664
83	27140.0	ERR187664
84	22515.5	ERR187664
85	19283.5	ERR187664
86	14464.5	ERR187664
87	11164.0	ERR187664
88	9539.5	ERR187664
89	9379.5	ERR187664
90	10434.0	ERR187664
91	10272.5	ERR187664
92	9433.0	ERR187664
93	9009.5	ERR187664
94	7599.0	ERR187664
95	6420.5	ERR187664
96	6346.0	ERR187664
97	5658.5	ERR187664
98	3187.5	ERR187664
99	1404.0	ERR187664
100	1404.0	ERR187664
