Length	Count	sample
17	298190.0	ERR187665
18	363442.0	ERR187665
19	174549.0	ERR187665
20	236055.0	ERR187665
21	378261.0	ERR187665
22	1401482.0	ERR187665
23	930035.0	ERR187665
24	523493.0	ERR187665
25	157921.0	ERR187665
26	118702.0	ERR187665
27	168553.0	ERR187665
28	109343.0	ERR187665
29	157726.0	ERR187665
30	100903.0	ERR187665
31	112935.0	ERR187665
32	168993.0	ERR187665
33	275732.0	ERR187665
34	119234.0	ERR187665
35	71263.0	ERR187665
36	65685.0	ERR187665
37	36216.0	ERR187665
38	28661.0	ERR187665
39	27933.0	ERR187665
40	18172.0	ERR187665
41	25454.0	ERR187665
42	14311.0	ERR187665
